candidate_id,rank,score,reasoning
CAND_0061257,1,1.122963,"Staff Machine Learning Engineer at LinkedIn, 8.0 yrs experience; previously Senior Applied Scientist at Yellow.ai (52mo); strong, endorsement-backed depth in Search Infrastructure, Vector Representations, Information Retrieval Systems."
CAND_0088025,2,1.116733,"Staff Machine Learning Engineer at Yellow.ai, 8.6 yrs experience; as Staff Machine Learning Engineer at Niramai (44mo) their role description specifically covers Pinecone; strong, endorsement-backed depth in Learning to Rank, Elasticsearch, BM25."
CAND_0007009,3,1.110169,"Recommendation Systems Engineer at Wysa, 7.9 yrs experience; as Recommendation Systems Engineer at PolicyBazaar (48mo) their role description specifically covers Embeddings, Pinecone; strong, endorsement-backed depth in Learning to Rank, OpenSearch, BM25."
CAND_0006567,4,1.106941,"Senior AI Engineer at Meta, 7.9 yrs experience; previously Senior ML Engineer — Search & Ranking at Glance (19mo); strong, endorsement-backed depth in Ranking Systems, BM25, Search Backend."
CAND_0066999,5,1.100755,"Recommendation Systems Engineer at Microsoft, 5.9 yrs experience; previously Senior Data Scientist at Amazon (21mo); strong, endorsement-backed depth in FAISS, BM25, Information Retrieval."
CAND_0002025,6,1.097251,"Senior AI Engineer at Apple, 5.9 yrs experience; as Lead AI Engineer at Aganitha (28mo) their role description specifically covers LoRA, QLoRA; strong, endorsement-backed depth in FAISS, Recommendation Systems, Weaviate."
CAND_0077337,7,1.096597,"Staff Machine Learning Engineer at Paytm, 7.0 yrs experience; previously Senior AI Engineer at Aganitha (6mo); strong, endorsement-backed depth in Information Retrieval, Recommendation Systems, pgvector."
CAND_0005538,8,1.088166,"Senior AI Engineer at Adobe, 5.9 yrs experience; previously Lead AI Engineer at Locobuzz (30mo); strong, endorsement-backed depth in pgvector, Information Retrieval Systems, Vector Representations."
CAND_0042506,9,1.087088,"Search Engineer at Verloop.io, 4.2 yrs experience; as Machine Learning Engineer at Meesho (32mo) their role description specifically covers Embeddings; strong, endorsement-backed depth in FAISS, Information Retrieval, NLP; but unverified contact info."
CAND_0078492,10,1.084532,"Recommendation Systems Engineer at Verloop.io, 5.1 yrs experience; previously Senior Data Scientist at Adobe (49mo); strong, endorsement-backed depth in FAISS, Qdrant, BM25."
CAND_0064326,11,1.084242,"Search Engineer at Sarvam AI, 7.6 yrs experience; previously Machine Learning Engineer at Aganitha (24mo); strong, endorsement-backed depth in Weaviate, Semantic Search, Milvus."
CAND_0081846,12,1.083059,"Lead AI Engineer at Razorpay, 6.7 yrs experience; as Senior Machine Learning Engineer at Paytm (52mo) their role description specifically covers Semantic Search, BM25; strong, endorsement-backed depth in Information Retrieval, Vector Search, Learning to Rank."
CAND_0041669,13,1.080493,"Recommendation Systems Engineer at CRED, 8.0 yrs experience; as Search Engineer at Mad Street Den (52mo) their role description specifically covers Embeddings, Pinecone; strong, endorsement-backed depth in Semantic Search, Milvus, Weaviate."
CAND_0071974,14,1.074635,"Senior AI Engineer at Netflix, 7.8 yrs experience; as Staff Machine Learning Engineer at Meta (28mo) their role description specifically covers LoRA, QLoRA; strong, endorsement-backed depth in Elasticsearch, Qdrant, Embeddings."
CAND_0065195,15,1.067828,"Search Engineer at CRED, 5.1 yrs experience; previously Senior Data Scientist at Google (13mo); strong, endorsement-backed depth in Qdrant, Elasticsearch, Learning to Rank."
CAND_0046525,16,1.067165,"Senior Machine Learning Engineer at Genpact AI, 6.1 yrs experience; as Senior Machine Learning Engineer at LinkedIn (25mo) their role description specifically covers Embeddings, FAISS, BM25; strong, endorsement-backed depth in Information Retrieval, Sentence Transformers, pgvector."
CAND_0018499,17,1.061031,"Senior Machine Learning Engineer at Zomato, 7.2 yrs experience; as Staff Machine Learning Engineer at Google (18mo) their role description specifically covers Embeddings, FAISS, BM25; strong, endorsement-backed depth in Learning to Rank, Embeddings, Weaviate."
CAND_0027691,18,1.058459,"NLP Engineer at Haptik, 6.5 yrs experience; as Applied ML Engineer at Vedantu (33mo) their role description specifically covers Semantic Search, FAISS, Elasticsearch; strong, endorsement-backed depth in Recommendation Systems, Weaviate, Semantic Search."
CAND_0011687,19,1.057341,"Senior NLP Engineer at Niramai, 7.8 yrs experience; as Senior Machine Learning Engineer at Krutrim (40mo) their role description specifically covers LoRA, QLoRA; strong, endorsement-backed depth in OpenSearch, Embeddings, Semantic Search."
CAND_0041610,20,1.056951,"Recommendation Systems Engineer at Zoho, 6.7 yrs experience; as Search Engineer at InMobi (15mo) their role description specifically covers Embeddings, Pinecone; strong, endorsement-backed depth in OpenSearch, Elasticsearch, Learning to Rank."
CAND_0011162,21,1.046170,"Recommendation Systems Engineer at upGrad, 5.8 yrs experience; previously Recommendation Systems Engineer at Meesho (28mo); strong, endorsement-backed depth in FAISS, OpenSearch, Pinecone."
CAND_0054394,22,1.043019,"Recommendation Systems Engineer at PharmEasy, 4.1 yrs experience; previously NLP Engineer at Netflix (34mo); strong, endorsement-backed depth in Fine-tuning LLMs, Embeddings, Pinecone; but unverified contact info."
CAND_0046064,23,1.040111,"Senior NLP Engineer at Salesforce, 8.9 yrs experience; as Lead AI Engineer at Verloop.io (34mo) their role description specifically covers Embeddings, FAISS, BM25; strong, endorsement-backed depth in Pinecone, Elasticsearch, BM25."
CAND_0052328,24,1.039879,"Recommendation Systems Engineer at Amazon, 6.5 yrs experience; previously Senior Data Scientist at Observe.AI (25mo); strong, endorsement-backed depth in Sentence Transformers, Learning to Rank, Vector Search; but unverified contact info."
CAND_0052682,25,1.039443,"NLP Engineer at Aganitha, 6.6 yrs experience; as NLP Engineer at Salesforce (32mo) their role description specifically covers Embeddings, Pinecone; strong, endorsement-backed depth in Semantic Search, Embeddings, FAISS."
CAND_0068811,26,1.038210,"Applied ML Engineer at Freshworks, 8.0 yrs experience; previously Recommendation Systems Engineer at Meesho (25mo); strong, endorsement-backed depth in Pinecone, Weaviate, Qdrant; but unverified contact info."
CAND_0000031,27,1.036739,"Recommendation Systems Engineer at Swiggy, 6.0 yrs experience; previously Search Engineer at Mad Street Den (16mo); strong, endorsement-backed depth in Pinecone, Embeddings, Information Retrieval; but unverified contact info."
CAND_0036184,28,1.036487,"Recommendation Systems Engineer at CRED, 6.0 yrs experience; as AI Engineer at PolicyBazaar (19mo) their role description specifically covers Semantic Search, FAISS, Elasticsearch; strong, endorsement-backed depth in Sentence Transformers, Semantic Search, Embeddings."
CAND_0037980,29,1.033066,"Senior Applied Scientist at Niramai, 9.0 yrs experience; previously Senior ML Engineer — Search & Ranking at Verloop.io (38mo); strong, endorsement-backed depth in Information Retrieval Systems, BM25, Search Infrastructure; but unverified contact info."
CAND_0084819,30,1.031874,"Search Engineer at Dream11, 4.5 yrs experience; previously Senior Data Scientist at Razorpay (20mo); strong, endorsement-backed depth in Information Retrieval, OpenSearch, Weaviate; but 120-day notice period."
CAND_0014440,31,1.025787,"Recommendation Systems Engineer at CRED, 6.4 yrs experience; previously NLP Engineer at Freshworks (31mo); strong, endorsement-backed depth in FAISS, Milvus, Qdrant."
CAND_0096142,32,1.022506,"Applied ML Engineer at upGrad, 5.0 yrs experience; as Applied ML Engineer at BYJU'S (18mo) their role description specifically covers Embeddings; strong, endorsement-backed depth in Weaviate, Pinecone, BM25; but 120-day notice period."
CAND_0037566,33,1.014503,"Machine Learning Engineer at LinkedIn, 6.9 yrs experience; as Machine Learning Engineer at Paytm (31mo) their role description specifically covers Embeddings, Pinecone; strong, endorsement-backed depth in Elasticsearch, Pinecone, NLP."
CAND_0040117,34,1.012403,"Recommendation Systems Engineer at PhonePe, 6.5 yrs experience; as Applied ML Engineer at Salesforce (26mo) their role description specifically covers Embeddings, Pinecone; strong, endorsement-backed depth in Embeddings, FAISS, BM25."
CAND_0010770,35,1.007652,"Recommendation Systems Engineer at Aganitha, 15.2 yrs experience; as Applied ML Engineer at Locobuzz (6mo) their role description specifically covers Semantic Search, FAISS, Elasticsearch; strong, endorsement-backed depth in Qdrant, pgvector, BM25; but 15.2 yrs experience is above the JD's core 5-9 yr band; unverified contact info."
CAND_0083879,36,1.007208,"Machine Learning Engineer at Ola, 7.1 yrs experience; previously Search Engineer at PhonePe (46mo); strong, endorsement-backed depth in Fine-tuning LLMs, Milvus, Sentence Transformers."
CAND_0017960,37,1.004327,"Recommendation Systems Engineer at Nykaa, 7.7 yrs experience; as Search Engineer at Sarvam AI (16mo) their role description specifically covers Embeddings, Pinecone; strong, endorsement-backed depth in Information Retrieval, Qdrant, Haystack."
CAND_0007412,38,1.002869,"Applied ML Engineer at Zoho, 7.4 yrs experience; previously Recommendation Systems Engineer at Locobuzz (19mo); strong, endorsement-backed depth in Milvus, Pinecone, BM25; but 120-day notice period."
CAND_0020708,39,1.002195,"Search Engineer at PolicyBazaar, 4.2 yrs experience; strong, endorsement-backed depth in Learning to Rank, Milvus, Sentence Transformers; but unverified contact info."
CAND_0057701,40,1.002041,"Recommendation Systems Engineer at Verloop.io, 4.1 yrs experience; strong, endorsement-backed depth in Learning to Rank, OpenSearch, Milvus; but 120-day notice period."
CAND_0010685,41,0.997652,"NLP Engineer at Rephrase.ai, 6.7 yrs experience; previously Search Engineer at Mad Street Den (21mo); strong, endorsement-backed depth in Elasticsearch, Information Retrieval, Haystack."
CAND_0055905,42,0.992116,"Senior Machine Learning Engineer at Flipkart, 8.1 yrs experience; as Senior AI Engineer at Uber (37mo) their role description specifically covers LoRA, QLoRA; strong, endorsement-backed depth in OpenSearch, Vector Search, Embeddings; but based in London, UK -- outside the JD's India preference, no visa sponsorship."
CAND_0039838,43,0.992078,"Recommendation Systems Engineer at Amazon, 4.9 yrs experience; previously NLP Engineer at Microsoft (9mo); strong, endorsement-backed depth in Vector Search, Milvus, Semantic Search; but unverified contact info."
CAND_0051615,44,0.991592,"Search Engineer at Meta, 4.6 yrs experience; previously Search Engineer at Krutrim (11mo); strong, endorsement-backed depth in Milvus, Vector Search, Sentence Transformers."
CAND_0036437,45,0.990350,"Search Engineer at Rephrase.ai, 4.8 yrs experience; previously Machine Learning Engineer at Nykaa (16mo); strong, endorsement-backed depth in FAISS, Milvus, Elasticsearch; but not flagged open to work."
CAND_0074735,46,0.990346,"Applied ML Engineer at Rephrase.ai, 5.5 yrs experience; as Search Engineer at Rephrase.ai (19mo) their role description specifically covers Embeddings, Pinecone; strong, endorsement-backed depth in Learning to Rank, Semantic Search, Vector Search."
CAND_0075574,47,0.990150,"Machine Learning Engineer at Haptik, 5.7 yrs experience; previously Machine Learning Engineer at Observe.AI (36mo); strong, endorsement-backed depth in Weaviate, pgvector, OpenSearch; but unverified contact info."
CAND_0006418,48,0.990087,"Machine Learning Engineer at Verloop.io, 5.7 yrs experience; previously AI Engineer at Flipkart (27mo); strong, endorsement-backed depth in Embeddings, Weaviate, Qdrant."
CAND_0024466,49,0.988075,"Search Engineer at PharmEasy, 5.2 yrs experience; as Recommendation Systems Engineer at Mad Street Den (19mo) their role description specifically covers Embeddings; strong, endorsement-backed depth in Sentence Transformers, Pinecone, pgvector."
CAND_0039754,50,0.987361,"Senior Applied Scientist at Meta, 16.2 yrs experience; as Senior ML Engineer — Search & Ranking at Apple (40mo) their role description specifically covers Semantic Search, BM25; strong, endorsement-backed depth in pgvector, Weaviate, OpenSearch; but 16.2 yrs experience is above the JD's core 5-9 yr band."
CAND_0078002,51,0.982763,"Machine Learning Engineer at Meta, 6.3 yrs experience; as Applied ML Engineer at Genpact AI (30mo) their role description specifically covers Embeddings; strong, endorsement-backed depth in QLoRA, pgvector, NLP."
CAND_0062247,52,0.982519,"AI Engineer at Google, 7.3 yrs experience; previously NLP Engineer at Dream11 (50mo); strong, endorsement-backed depth in Vector Search, Qdrant, Learning to Rank."
CAND_0079387,53,0.981571,"AI Engineer at Microsoft, 6.9 yrs experience; as NLP Engineer at upGrad (22mo) their role description specifically covers Embeddings, Pinecone; strong, endorsement-backed depth in Sentence Transformers, Vector Search, OpenSearch."
CAND_0086022,54,0.981146,"Senior Applied Scientist at Sarvam AI, 5.3 yrs experience; previously Senior ML Engineer — Search & Ranking at Uber (38mo); strong, endorsement-backed depth in pgvector, Pinecone, Sentence Transformers."
CAND_0049896,55,0.979527,"Search Engineer at Unacademy, 7.3 yrs experience; as Applied ML Engineer at Flipkart (42mo) their role description specifically covers Embeddings; strong, endorsement-backed depth in Information Retrieval, Vector Search, NLP."
CAND_0072660,56,0.978563,"Machine Learning Engineer at Unacademy, 7.1 yrs experience; previously NLP Engineer at Adobe (50mo); strong, endorsement-backed depth in Information Retrieval, FAISS, pgvector; but based in Berlin, Germany -- outside the JD's India preference, no visa sponsorship; unverified contact info."
CAND_0074225,57,0.978066,"Machine Learning Engineer at Unacademy, 4.3 yrs experience; as Machine Learning Engineer at Mad Street Den (25mo) their role description specifically covers Embeddings, Pinecone; strong, endorsement-backed depth in Milvus, Vector Search, Recommendation Systems; but 120-day notice period."
CAND_0040887,58,0.977655,"Machine Learning Engineer at Netflix, 4.7 yrs experience; as AI Engineer at Unacademy (9mo) their role description specifically covers Embeddings, Pinecone; strong, endorsement-backed depth in Recommendation Systems, Milvus, FAISS; but based in Toronto, Canada -- outside the JD's India preference, no visa sponsorship."
CAND_0099806,59,0.972395,"AI Engineer at Mad Street Den, 4.6 yrs experience; previously Machine Learning Engineer at upGrad (21mo); strong, endorsement-backed depth in Qdrant, Embeddings, FAISS."
CAND_0076163,60,0.970981,"NLP Engineer at Ola, 6.9 yrs experience; previously NLP Engineer at Zoho (36mo); strong, endorsement-backed depth in Semantic Search, Weaviate, BM25."
CAND_0080766,61,0.970697,"Staff Machine Learning Engineer at Salesforce, 8.8 yrs experience; previously Staff Machine Learning Engineer at Aganitha (12mo); strong, endorsement-backed depth in Search Infrastructure, OpenSearch, Search & Discovery; but not flagged open to work."
CAND_0030468,62,0.970200,"Senior Applied Scientist at Swiggy, 5.4 yrs experience; previously Senior Applied Scientist at CRED (18mo); strong, endorsement-backed depth in OpenSearch, Ranking Systems, Milvus."
CAND_0006557,63,0.969910,"NLP Engineer at Paytm, 7.9 yrs experience; as Recommendation Systems Engineer at Apple (40mo) their role description specifically covers Embeddings; strong, endorsement-backed depth in FAISS, Qdrant, Vector Search; but 120-day notice period."
CAND_0028793,64,0.969760,"Search Engineer at Google, 7.2 yrs experience; previously Machine Learning Engineer at Meesho (13mo); strong, endorsement-backed depth in Embeddings, Learning to Rank, pgvector; but 120-day notice period."
CAND_0031593,65,0.969544,"Search Engineer at Genpact AI, 7.8 yrs experience; as Search Engineer at Aganitha (33mo) their role description specifically covers Embeddings; strong, endorsement-backed depth in Embeddings, Elasticsearch, BM25."
CAND_0069905,66,0.968364,"Applied ML Engineer at Sarvam AI, 6.6 yrs experience; as Recommendation Systems Engineer at Observe.AI (39mo) their role description specifically covers Semantic Search, FAISS, Elasticsearch; strong, endorsement-backed depth in Weaviate, Sentence Transformers, Recommendation Systems."
CAND_0076831,67,0.967330,"Search Engineer at Krutrim, 4.0 yrs experience; previously Search Engineer at Zomato (20mo); strong, endorsement-backed depth in Milvus, NLP, BM25."
CAND_0050454,68,0.967190,"AI Engineer at Rephrase.ai, 6.8 yrs experience; previously Machine Learning Engineer at Uber (20mo); strong, endorsement-backed depth in Qdrant, FAISS, BM25; but unverified contact info."
CAND_0081053,69,0.965493,"NLP Engineer at Glance, 5.4 yrs experience; as Machine Learning Engineer at Salesforce (42mo) their role description specifically covers Embeddings; strong, endorsement-backed depth in Weaviate, Semantic Search, pgvector."
CAND_0018722,70,0.965289,"Recommendation Systems Engineer at Saarthi.ai, 6.6 yrs experience; previously Machine Learning Engineer at Unacademy (30mo); strong, endorsement-backed depth in Weaviate, Hugging Face Transformers, PEFT; but based in Toronto, Canada -- outside the JD's India preference, no visa sponsorship."
CAND_0083307,71,0.965165,"Search Engineer at CRED, 7.8 yrs experience; previously Machine Learning Engineer at Netflix (51mo); strong, endorsement-backed depth in Weaviate, Vector Search, Pinecone; but 120-day notice period."
CAND_0052335,72,0.964201,"Applied ML Engineer at Aganitha, 6.4 yrs experience; as AI Engineer at Wysa (32mo) their role description specifically covers Embeddings, Pinecone; strong, endorsement-backed depth in Learning to Rank, Sentence Transformers, NLP; but based in Berlin, Germany -- outside the JD's India preference, no visa sponsorship."
CAND_0053695,73,0.964180,"Recommendation Systems Engineer at Meesho, 5.8 yrs experience; previously Machine Learning Engineer at Genpact AI (34mo); strong, endorsement-backed depth in Pinecone, Embeddings, pgvector."
CAND_0008425,74,0.961023,"Senior NLP Engineer at Ola, 7.8 yrs experience; as Senior ML Engineer — Search & Ranking at Zomato (46mo) their role description specifically covers LoRA, QLoRA; strong, endorsement-backed depth in Sentence Transformers, Recommendation Systems, Learning to Rank."
CAND_0051292,75,0.960251,"Applied ML Engineer at Freshworks, 5.2 yrs experience; as Search Engineer at Vedantu (28mo) their role description specifically covers Semantic Search, FAISS, Elasticsearch; strong, endorsement-backed depth in pgvector, Vector Search, FAISS."
CAND_0016163,76,0.953701,"Applied ML Engineer at Dream11, 6.7 yrs experience; as Applied ML Engineer at Verloop.io (40mo) their role description specifically covers Semantic Search, FAISS, Elasticsearch; strong, endorsement-backed depth in pgvector, Pinecone, Embeddings; but 120-day notice period."
CAND_0061655,77,0.953278,"Machine Learning Engineer at Krutrim, 4.6 yrs experience; as Recommendation Systems Engineer at Google (11mo) their role description specifically covers Embeddings; strong, endorsement-backed depth in Pinecone, Elasticsearch, NLP; but not flagged open to work."
CAND_0079064,78,0.953124,"Senior Data Scientist at Niramai, 5.2 yrs experience; as NLP Engineer at Razorpay (18mo) their role description specifically covers Embeddings, Pinecone; strong, endorsement-backed depth in Semantic Search, Pinecone, OpenSearch; but 120-day notice period."
CAND_0093912,79,0.952385,"Senior Data Scientist at Razorpay, 5.3 yrs experience; as Search Engineer at Flipkart (19mo) their role description specifically covers Semantic Search, FAISS, Elasticsearch; strong, endorsement-backed depth in Milvus, Vector Search, Elasticsearch."
CAND_0091909,80,0.950712,"Machine Learning Engineer at Rephrase.ai, 6.9 yrs experience; previously NLP Engineer at Meta (31mo); strong, endorsement-backed depth in Pinecone, Learning to Rank, OpenSearch."
CAND_0029367,81,0.948596,"Senior Data Scientist at Rephrase.ai, 5.7 yrs experience; as Applied ML Engineer at CRED (15mo) their role description specifically covers Semantic Search, FAISS, Elasticsearch; strong, endorsement-backed depth in Sentence Transformers, Pinecone, FAISS."
CAND_0070398,82,0.945606,"Machine Learning Engineer at Genpact AI, 7.2 yrs experience; as Applied ML Engineer at Uber (22mo) their role description specifically covers Semantic Search, FAISS, Elasticsearch; strong, endorsement-backed depth in FAISS, BM25, Embeddings; but 120-day notice period."
CAND_0095619,83,0.944875,"NLP Engineer at Nykaa, 15.6 yrs experience; strong, endorsement-backed depth in Pinecone, Sentence Transformers, Weaviate; but 15.6 yrs experience is above the JD's core 5-9 yr band."
CAND_0068351,84,0.941259,"Lead AI Engineer at Sarvam AI, 6.4 yrs experience; previously Staff Machine Learning Engineer at Verloop.io (45mo); strong, endorsement-backed depth in Qdrant, pgvector, PEFT; but not flagged open to work; unverified contact info."
CAND_0081852,85,0.940859,"Senior Data Scientist at Mad Street Den, 5.9 yrs experience; previously AI Engineer at Nykaa (19mo); strong, endorsement-backed depth in Weaviate, Vector Search, pgvector; but unverified contact info."
CAND_0087364,86,0.939771,"Recommendation Systems Engineer at Glance, 4.9 yrs experience; previously Recommendation Systems Engineer at Rephrase.ai (13mo); strong, endorsement-backed depth in Qdrant, Pinecone, Milvus; but not flagged open to work."
CAND_0041568,87,0.936941,"Search Engineer at Haptik, 5.2 yrs experience; as Applied ML Engineer at Flipkart (14mo) their role description specifically covers Embeddings; strong, endorsement-backed depth in Weaviate, Semantic Search, Pinecone; but based in Sydney, Australia -- outside the JD's India preference, no visa sponsorship; unverified contact info."
CAND_0013536,88,0.936883,"Applied ML Engineer at Haptik, 14.1 yrs experience; previously Recommendation Systems Engineer at Rephrase.ai (22mo); strong, endorsement-backed depth in Embeddings, Vector Search, Elasticsearch."
CAND_0005649,89,0.936737,"Senior Data Scientist at Sarvam AI, 7.4 yrs experience; as Recommendation Systems Engineer at Aganitha (12mo) their role description specifically covers Embeddings, Pinecone; strong, endorsement-backed depth in Information Retrieval, Recommendation Systems, Weaviate."
CAND_0061339,90,0.936431,"Search Engineer at Rephrase.ai, 4.2 yrs experience; previously Applied ML Engineer at Krutrim (8mo); strong, endorsement-backed depth in Information Retrieval, Vector Search, Milvus."
CAND_0093193,91,0.934741,"Senior Machine Learning Engineer at Niramai, 7.9 yrs experience; previously Lead AI Engineer at Netflix (50mo); strong, endorsement-backed depth in OpenSearch, Vector Representations, Text Encoders."
CAND_0054123,92,0.931842,"Applied ML Engineer at Meta, 4.7 yrs experience; as AI Engineer at CRED (10mo) their role description specifically covers Semantic Search, FAISS, Elasticsearch; strong, endorsement-backed depth in Vector Search, Qdrant, pgvector; but not flagged open to work."
CAND_0049538,93,0.931313,"Applied ML Engineer at Saarthi.ai, 5.8 yrs experience; previously Recommendation Systems Engineer at PolicyBazaar (19mo); strong, endorsement-backed depth in Milvus, Elasticsearch, Vector Search; but not flagged open to work."
CAND_0027801,94,0.926393,"NLP Engineer at InMobi, 7.4 yrs experience; as Recommendation Systems Engineer at Uber (31mo) their role description specifically covers Semantic Search, FAISS, Elasticsearch; strong, endorsement-backed depth in Milvus, FAISS, Learning to Rank; but 120-day notice period."
CAND_0026532,95,0.924114,"Recommendation Systems Engineer at Zomato, 4.8 yrs experience; as Recommendation Systems Engineer at Mad Street Den (22mo) their role description specifically covers Embeddings; strong, endorsement-backed depth in Information Retrieval, pgvector, Semantic Search."
CAND_0053591,96,0.923001,"AI Engineer at Ola, 5.3 yrs experience; as AI Engineer at Swiggy (25mo) their role description specifically covers Embeddings, Pinecone; strong, endorsement-backed depth in Sentence Transformers, OpenSearch, Embeddings; but based in Toronto, Canada -- outside the JD's India preference, no visa sponsorship."
CAND_0070485,97,0.919374,"Search Engineer at Saarthi.ai, 6.4 yrs experience; previously Machine Learning Engineer at Dream11 (50mo); strong, endorsement-backed depth in Recommendation Systems, FAISS, QLoRA; but 120-day notice period."
CAND_0061265,98,0.918224,"Recommendation Systems Engineer at Zoho, 6.6 yrs experience; previously Senior Data Scientist at Observe.AI (36mo); strong, endorsement-backed depth in Learning to Rank, Milvus, Qdrant; but unverified contact info; 120-day notice period."
CAND_0058688,99,0.916569,"AI Engineer at Vedantu, 6.7 yrs experience; as Recommendation Systems Engineer at Apple (43mo) their role description specifically covers Embeddings; strong, endorsement-backed depth in Milvus, Embeddings, Information Retrieval; but based in Berlin, Germany -- outside the JD's India preference, no visa sponsorship."
CAND_0011432,100,0.916209,"Senior Data Scientist at Amazon, 7.6 yrs experience; as Machine Learning Engineer at Krutrim (36mo) their role description specifically covers Embeddings, Pinecone; strong, endorsement-backed depth in OpenSearch, pgvector, Elasticsearch."
